Source,Access Method,Pricing,Real-time,Detail Level,Commercial Terms (B2C Low Volume US VIN Focus),
VinAudit,API,Paid (starts ~$0.02/call),Yes (aggregates millions monthly),Year/make/model/trim/VIN market value,Commercial OK with license; no resale of raw data,
Vehicle Databases,API,Freemium (free tier low vol),Yes (current market values),VIN/year/make/model/trade-in/private party,Commercial license required; B2C permitted,
Kelley Blue Book (KBB),API,Paid (enterprise),Yes (frequent updates),Year/make/model/trim/mileage/location/condition,VIN support; commercial use via partner license only,
Edmunds,API,Paid (enterprise),Yes (real-time market),Year/make/model/trim/MSRP/invoice/trade-in,"VIN decoding; strict commercial terms, no public resale",
NADAguides,API,Paid (subscription),Yes (daily updates),Year/make/model/condition/region/VIN trade/retail,Commercial OK for B2C tools with attribution,
CarsXE,API,Freemium (free limited),Yes (live data),VIN decode + market value/auction/history,Commercial permitted low volume; upgrade for scale,
Marketcheck,API,Freemium (free tier),Yes (live listings),VIN/year/make/model/inventory prices,Commercial OK; no scraping their data,
CarAPI.app,API,Freemium,Not specified (cached),Year/make/model/trim/VIN specs (less valuation),Commercial friendly for B2C apps,
Apify Car Valuation API,API/Scraping,Paid (pay-per-run),Yes (scrapes live sites),Year/make/model price from aggregators,"VIN optional; commercial use OK, check ToS per actor",No
Cars.com Scraper (Apify),Web Scraping,Paid (pay-per-run),Yes (live listings),Year/make/model/mileage/price/dealer,VIN sometimes; ToS prohibits commercial scraping,
Autotrader Scraper (Apify),Web Scraping,Paid (pay-per-run),Yes (live),Year/make/model/trim/mileage/price,VIN optional; high ToS risk for commercial,
CarGurus Scraper (Apify),Web Scraping,Paid (pay-per-run),Yes (zip-based live),Year/make/model/price/mileage,VIN rare; ToS blocks automated access,
VINDecoder.net (via API),API,Freemium,No (static decode),VIN specs/decode (basic value est),Commercial OK low volume; limited valuation,
"VinAudit Car Listing API: Live dealership/marketplace data with regional filters, pricing trends, mileage, specs; supports bulk/area searches for comparisons. Paid, B2C-friendly.​",,,,,,
"Auto.dev Listings API: US dealer listings (physical/online) with complex queries by location/vehicle details; 1,000 free calls/month then $0.002/call. Ideal for low-volume B2C tools.​",,,,,,